
geo,sex,age,year,population
Italy,Females,Y_LT15,2010,4367890
Italy,Males,Y15-64,2010,19890123
Italy,Females,Y15-64,2010,19456789
Italy,Males,Y_GE65,2010,6345678
Italy,Females,Y_GE65,2010,7890123
Italy,Males,Y_LT15,2011,4634567
Italy,Females,Y_LT15,2011,4401234
Italy,Males,Y15-64,2011,19991235
Italy,Females,Y15-64,2011,19567891
Italy,Males,Y_GE65,2011,6456789
Italy,Females,Y_GE65,2011,7991235
Latvia,Males,Y_LT15,2009,123456
Latvia,Females,Y_LT15,2009,117890
Latvia,Males,Y15-64,2009,789012
Latvia,Females,Y15-64,2009,756789
Latvia,Males,Y_GE65,2009,167890
Latvia,Females,Y_GE65,2009,212345
Latvia,Males,Y_LT15,2010,124567
Latvia,Females,Y_LT15,2010,118901
Latvia,Males,Y15-64,2010,801234
Latvia,Females,Y15-64,2010,768901
Latvia,Males,Y_GE65,2010,178901
Latvia,Females,Y_GE65,2010,223456
Latvia,Males,Y_LT15,2011,125678
Latvia,Females,Y_LT15,2011,119912
Latvia,Males,Y15-64,2011,813456
Latvia,Females,Y15-64,2011,781023
Latvia,Males,Y_GE65,2011,189912
Latvia,Females,Y_GE65,2011,234567
Lithuania,Males,Y_LT15,2009,178901
Lithuania,Females,Y_LT15,2009,167890
Lithuania,Males,Y15-64,2009,1123456
Lithuania,Females,Y15-64,2009,1078901
Lithuania,Males,Y_GE65,2009,234567
Lithuania,Females,Y_GE65,2009,289012
Lithuania,Males,Y_LT15,2010,180123
Lithuania,Females,Y_LT15,2010,169012
Lithuania,Males,Y15-64,2010,1134567
Lithuania,Females,Y15-64,2010,1090123
Lithuania,Males,Y_GE65,2010,245678
Lithuania,Females,Y_GE65,2010,300234
Lithuania,Males,Y_LT15,2011,181235
Lithuania,Females,Y_LT15,2011,170124
Lithuania,Males,Y15-64,2011,1145678
Lithuania,Females,Y15-64,2011,1101235
Lithuania,Males,Y_GE65,2011,256789
Lithuania,Females,Y_GE65,2011,311346
Luxembourg,Males,Y_LT15,2009,45678
Luxembourg,Females,Y_LT15,2009,43456
Luxembourg,Males,Y15-64,2009,223456
Luxembourg,Females,Y15-64,2009,218901
Luxembourg,Males,Y_GE65,2009,56789
Luxembourg,Females,Y_GE65,2009,67890
Luxembourg,Males,Y_LT15,2010,46789
Luxembourg,Females,Y_LT15,2010,44567
Luxembourg,Males,Y15-64,2010,234567
Luxembourg,Females,Y15-64,2010,230012
Luxembourg,Males,Y_GE65,2010,67890
Luxembourg,Females,Y_GE65,2010,78901
Luxembourg,Males,Y_LT15,2011,47890
Luxembourg,Females,Y_LT15,2011,45678
Luxembourg,Males,Y15-64,2011,245678
Luxembourg,Females,Y15-64,2011,241123
Luxembourg,Males,Y_GE65,2011,78901
Luxembourg,Females,Y_GE65,2011,89012
Malta,Males,Y_LT15,2009,34567
Malta,Females,Y_LT15,2009,32890
Malta,Males,Y15-64,2009,123456
Malta,Females,Y15-64,2009,118901
Malta,Males,Y_GE65,2009,45678
Malta,Females,Y_GE65,2009,52345
Malta,Males,Y_LT15,2010,35678
Malta,Females,Y_LT15,2010,33901
Malta,Males,Y15-64,2010,134567
Malta,Females,Y15-64,2010,130012
Malta,Males,Y_GE65,2010,56789
Malta,Females,Y_GE65,2010,63456
Malta,Males,Y_LT15,2011,36789
Malta,Females,Y_LT15,2011,34912
Malta,Males,Y15-64,2011,145678
Malta,Females,Y15-64,2011,141123
Malta,Males,Y_GE65,2011,67890
Malta,Females,Y_GE65,2011,74567
Netherlands,Males,Y_LT15,2009,1123456
Netherlands,Females,Y_LT15,2009,1067890
Netherlands,Males,Y15-64,2009,5789012
Netherlands,Females,Y15-64,2009,5656789
Netherlands,Males,Y_GE65,2009,1234567
Netherlands,Females,Y_GE65,2009,1456789
Netherlands,Males,Y_LT15,2010,1134567
Netherlands,Females,Y_LT15,2010,1078901
Netherlands,Males,Y15-64,2010,5890123
Netherlands,Females,Y15-64,2010,5767890
Netherlands,Males,Y_GE65,2010,1345678
Netherlands,Females,Y_GE65,2010,1567890
Netherlands,Males,Y_LT15,2011,1145678
Netherlands,Females,Y_LT15,2011,1089912
Netherlands,Males,Y15-64,2011,5991235
Netherlands,Females,Y15-64,2011,5878901
Netherlands,Males,Y_GE65,2011,1456789
Netherlands,Females,Y_GE65,2011,1678901
Norway,Males,Y_LT15,2009,345678
Norway,Females,Y_LT15,2009,328901
Norway,Males,Y15-64,2009,1678901
Norway,Females,Y15-64,2009,1634567
Norway,Males,Y_GE65,2009,345678
Norway,Females,Y_GE65,2009,412345
Norway,Males,Y_LT15,2010,348901
Norway,Females,Y_LT15,2010,332124
Norway,Males,Y15-64,2010,1690123
Norway,Females,Y15-64,2010,1645678
Norway,Males,Y_GE65,2010,356789
Norway,Females,Y_GE65,2010,423456
Norway,Males,Y_LT15,2011,352124
Norway,Females,Y_LT15,2011,335347
Norway,Males,Y15-64,2011,1701235
Norway,Females,Y15-64,2011,1656789
Norway,Males,Y_GE65,2011,367890
Norway,Females,Y_GE65,2011,434567
Poland,Males,Y_LT15,2009,2234567
Poland,Females,Y_LT15,2009,2123456
Poland,Males,Y15-64,2009,12789012
Poland,Females,Y15-64,2009,12456789
Poland,Males,Y_GE65,2009,2456789
Poland,Females,Y_GE65,2009,3234567
Poland,Males,Y_LT15,2010,2267890
Poland,Females,Y_LT15,2010,2156789
Poland,Males,Y15-64,2010,12890123
Poland,Females,Y15-64,2010,12567890
Poland,Males,Y_GE65,2010,2567890
Poland,Females,Y_GE65,2010,3345678
Poland,Males,Y_LT15,2011,2301234
Poland,Females,Y_LT15,2011,2190123
Poland,Males,Y15-64,2011,12991235
Poland,Females,Y15-64,2011,12678901
Poland,Males,Y_GE65,2011,2678901
Poland,Females,Y_GE65,2011,3456789
Portugal,Males,Y_LT15,2009,567890
Portugal,Females,Y_LT15,2009,539012
Portugal,Males,Y15-64,2009,3567890
Portugal,Females,Y15-64,2009,3489012
Portugal,Males,Y_GE65,2009,789012
Portugal,Females,Y_GE65,2009,923456
Portugal,Males,Y_LT15,2010,571234
Portugal,Females,Y_LT15,2010,542346
Portugal,Males,Y15-64,2010,3590123
Portugal,Females,Y15-64,2010,3512345
Portugal,Males,Y_GE65,2010,801234
Portugal,Females,Y_GE65,2010,934567
Portugal,Males,Y_LT15,2011,574567
Portugal,Females,Y_LT15,2011,545679
Portugal,Males,Y15-64,2011,3612356
Portugal,Females,Y15-64,2011,3535678
Portugal,Males,Y_GE65,2011,813456
Portugal,Females,Y_GE65,2011,945678
Romania,Males,Y_LT15,2009,1234567
Romania,Females,Y_LT15,2009,1167890
Romania,Males,Y15-64,2009,7234567
Romania,Females,Y15-64,2009,7089012
Romania,Males,Y_GE65,2009,1567890
Romania,Females,Y_GE65,2009,1912345
Romania,Males,Y_LT15,2010,1256789
Romania,Females,Y_LT15,2010,1190123
Romania,Males,Y15-64,2010,7345678
Romania,Females,Y15-64,2010,7201234
Romania,Males,Y_GE65,2010,1678901
Romania,Females,Y_GE65,2010,2023456
Romania,Males,Y_LT15,2011,1278901
Romania,Females,Y_LT15,2011,1212356
Romania,Males,Y15-64,2011,7456789
Romania,Females,Y15-64,2011,7313456
Romania,Males,Y_GE65,2011,1789012
Romania,Females,Y_GE65,2011,2134567
Slovakia,Males,Y_LT15,2009,345678
Slovakia,Females,Y_LT15,2009,328901
Slovakia,Males,Y15-64,2009,1789012
Slovakia,Females,Y15-64,2009,1745678
Slovakia,Males,Y_GE65,2009,345678
Slovakia,Females,Y_GE65,2009,423456
Slovakia,Males,Y_LT15,2010,348901
Slovakia,Females,Y_LT15,2010,332124
Slovakia,Males,Y15-64,2010,1801234
Slovakia,Females,Y15-64,2010,1757890
Slovakia,Males,Y_GE65,2010,356789
Slovakia,Females,Y_GE65,2010,434567
Slovakia,Males,Y_LT15,2011,352124
Slovakia,Females,Y_LT15,2011,335347
Slovakia,Males,Y15-64,2011,1813456
Slovakia,Females,Y15-64,2011,1770123
Slovakia,Males,Y_GE65,2011,367890
Slovakia,Females,Y_GE65,2011,445678
Slovenia,Males,Y_LT15,2009,123456
Slovenia,Females,Y_LT15,2009,117890
Slovenia,Males,Y15-64,2009,723456
Slovenia,Females,Y15-64,2009,706789
Slovenia,Males,Y_GE65,2009,167890
Slovenia,Females,Y_GE65,2009,201234
Slovenia,Males,Y_LT15,2010,124567
Slovenia,Females,Y_LT15,2010,118901
Slovenia,Males,Y15-64,2010,734567
Slovenia,Females,Y15-64,2010,717890
Slovenia,Males,Y_GE65,2010,178901
Slovenia,Females,Y_GE65,2010,212345
Slovenia,Males,Y_LT15,2011,125678
Slovenia,Females,Y_LT15,2011,119912
Slovenia,Males,Y15-64,2011,745678
Slovenia,Females,Y15-64,2011,728901
Slovenia,Males,Y_GE65,2011,189912
Slovenia,Females,Y_GE65,2011,223456
Spain,Males,Y_LT15,2009,2789012
Spain,Females,Y_LT15,2009,2656789
Spain,Males,Y15-64,2009,15789012
Spain,Females,Y15-64,2009,15456789
Spain,Males,Y_GE65,2009,3456789
Spain,Females,Y_GE65,2009,4123456
Spain,Males,Y_LT15,2010,2823456
Spain,Females,Y_LT15,2010,2690123
Spain,Males,Y15-64,2010,15890123
Spain,Females,Y15-64,2010,15567890
Spain,Males,Y_GE65,2010,3567890
Spain,Females,Y_GE65,2010,4234567
Spain,Males,Y_LT15,2011,2857890
Spain,Females,Y_LT15,2011,2723456
Spain,Males,Y15-64,2011,15991235
Spain,Females,Y15-64,2011,15678901
Spain,Males,Y_GE65,2011,3678901
Spain,Females,Y_GE65,2011,4345678
Sweden,Males,Y_LT15,2009,567890
Sweden,Females,Y_LT15,2009,539012
Sweden,Males,Y15-64,2009,3234567
Sweden,Females,Y15-64,2009,3156789
Sweden,Males,Y_GE65,2009,789012
Sweden,Females,Y_GE65,2009,912345
Sweden,Males,Y_LT15,2010,571234
Sweden,Females,Y_LT15,2010,542346
Sweden,Males,Y15-64,2010,3256789
Sweden,Females,Y15-64,2010,3178901
Sweden,Males,Y_GE65,2010,801234
Sweden,Females,Y_GE65,2010,923456
Sweden,Males,Y_LT15,2011,574567
Sweden,Females,Y_LT15,2011,545679
Sweden,Males,Y15-64,2011,3278901
Sweden,Females,Y15-64,2011,3201023
Sweden,Males,Y_GE65,2011,813456
Sweden,Females,Y_GE65,2011,934567
United Kingdom,Males,Y_LT15,2009,4123456
United Kingdom,Females,Y_LT15,2009,3923456
United Kingdom,Males,Y15-64,2009,21789012
United Kingdom,Females,Y15-64,2009,21456789
United Kingdom,Males,Y_GE65,2009,5789012
United Kingdom,Females,Y_GE65,2009,6789012
United Kingdom,Males,Y_LT15,2010,4156789
United Kingdom,Females,Y_LT15,2010,3956789
United Kingdom,Males,Y15-64,2010,21890123
United Kingdom,Females,Y15-64,2010,21567890
United Kingdom,Males,Y_GE65,2010,5890123
United Kingdom,Females,Y_GE65,2010,6890123
United Kingdom,Males,Y_LT15,2011,4190123
United Kingdom,Females,Y_LT15,2011,3990123
United Kingdom,Males,Y15-64,2011,21991235
United Kingdom,Females,Y15-64,2011,21678901
United Kingdom,Males,Y_GE65,2011,5991235
United Kingdom,Females,Y_GE65,2011,6991235
